sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
5587ae174e729e69b1f098f6e59e8bdfe743fc9c4077fd62c967c289dfb73363,Talking_Tom_Cat_3_Free,com.googleapi.cover,2C8405F7,9,3,6,3,15,1,1,1,2,5,0,1,0,1,1
357facdcb8405d363373ae7886300eecc2f3b0f0be09af388c6535b3a4b612ab,Установка,com.tujtr.rtbrr,936EACBE07F201DF,8,2,6,1,14,1,1,2,18,4,0,1,0,1,1
2468c8af6c957e5982cb46a80945dff375c535db9a579cf45096706e6af94d75,成人快播,com.yr.sx,4BA97E6E,20,23,4,7,29,2,6,3,6,21,0,20,0,2,2
a281644a75a014473f7327b220d74bdf8dea5aa32ec04d696ae4429dab296ccd,成人快播,com.yr.sx,7ABE2A99,20,23,4,7,29,4,3,3,6,14,0,16,0,4,4
060f676cf495ea9c2ba8f28551afbbc7db08fe70a21377642cbc319d17154f59,成人快播,com.yr.sx,5CD60693,20,23,4,7,29,2,6,3,6,19,0,18,0,2,1
a666a5532d32c293d92bb5c529b55b9834792f51227443f99e7b5168554559c8,成人快播,com.yr.sx,02225A97,20,23,4,7,29,2,6,3,6,22,0,18,0,2,2
6af87106fc9477e73a54a6daf1c4bc2a4ad7aef6fe9cee0d66a3a68540c09be7,成人快播,com.yr.sx,15438B53,20,23,4,7,29,4,3,3,6,19,0,18,0,4,5
90bdd2368976f6e7358cef243d0baf1e1ac46e82b458c4bcf1fcf420a22f3ab6,成人快播,com.yr.sx,6A0EDFAB,20,23,4,7,29,2,6,3,6,21,0,20,0,2,2
35a5bfedec0facaf19324b5dbb274cdfc6530e250a72d39deb859173c09dcfd0,Системное обновление,com.android.system,4E5C0175,6,6,6,3,17,0,1,0,0,0,0,1,0,0,0
9717cb86b4b2453ea26cc2bc122ea106e8be732c512c0d391cef1b2cf465db08,ES_explorer_1.6.0.7,com.googleapi.org,1A8B07A8,7,3,5,0,10,0,0,0,0,3,0,1,0,0,0
19932e54e942d4d41fac5e002e278bcf8c902b6b5bf45b3ea6e13c3794c7a4ba,Установка,net.os.android,4E868DEC,6,4,4,2,13,0,0,1,8,2,2,1,0,0,0
76dd94bb2e4ed02fea6554edc01ea0fed8e8648348babcf3f8a9a6a38e3711da,Hackninja,com.hdc.bookmark237304,E6EFD52A17E0DCE7,1,2,0,0,4,0,0,0,0,0,0,1,0,0,0
47073e1e93db616e10de1fe2c87c173fe545c226dc94076703ee2f1acc8a4ab8,赛尔号4,gov.rimiph.jjhljt.kspqvh,0EB009D3,2,1,1,1,9,1,1,1,2,5,0,6,0,1,1
b49d39b0be8387535262a7d58c14ca252cd7fe177a68b430277e8cef7b80af24,Sexy Clip,com.sexy.clip,5108A6D0,4,2,2,1,9,4,2,2,4,0,0,3,0,0,0
97e231765c540989794dcf92a98bf2f57dbad9c065fc9137804b8b86ef3d3468,成人快播,com.yr.sx,21253ACE,20,23,4,7,29,2,6,3,6,22,0,23,0,3,2
cb6d08551584cb17b0f3d7c645cc4f033d8792718fdcdce88f9e9c8cd8f37131,成人快播,com.yr.sx,657463D3,20,23,4,7,29,3,5,3,6,20,0,21,0,3,4
a03aab4330d1fa6e3633d76eff0b31f77d0b5c4200ac6466372587eb366491df,成人快播,com.yr.sx,09933165,20,23,4,7,29,3,6,3,6,24,0,20,0,3,2
