sha,name,label,labelnames,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
006b5a13faf6e16b8ea21d66dbc8062f4029290289e834ded3828da13e2eea45,NFS_Hot_Pursuit_HD_v1.0.62,156,"sms_fraud- MSACM32",12,3,9,2,15,1,1,1,2,4,0,1,0,1,1
006f50ceba847da23a781b7b4b83931635ca76fbe7c9e7520a8aba915fe01e6e,GooglePlay,172,SmsSender,4,3,3,0,6,0,0,0,0,2,0,1,0,0,0
00706eb81a120cc6b6089312a10c354247055e147de2bc01b2221753e0631eed,"Ero Tube",174,SMSSend-FakeIns,9,2,3,2,10,0,0,0,0,4,0,2,0,0,0
00708a50a13321d5b9eac9783ad0627743c7d1da5e760433bffe99b4366f487c,Foto6sovtetila_plemenika,174,SMSSend-FakeIns,2,1,1,1,6,0,0,0,0,0,0,2,0,0,0
007176cc699c2b9ac3c91b53d69fbd001ecca279060cd2f450f91cc2bac1e38d,TweetLine,160,"SMSFraud- Whiskeyco",6,1,6,2,19,0,0,1,24,3,0,4,0,0,0
007215abd240d10f41d5893c0bfd83ac29454efac43955cb80095bb648fb2e18,HD_LiveWallpapers_Udate,156,"sms_fraud- MSACM32",12,3,9,2,15,1,1,1,2,5,0,1,0,1,1
007639e09fcdca7ca2c9c40030fc892c66df18f0b0f58e17bca5e0cfe8aaeae7,the_tribez.apk,156,"sms_fraud- MSACM32",6,4,4,1,13,1,1,1,2,3,0,1,0,1,1
00763c5c7d8d019c1bf393298c0b38cbb09ff0652d06fa7b84ad761fdf5d9cce,"Porno Video",27,Android/SMSreg.IE,6,4,4,2,13,0,0,1,8,2,2,1,0,0,0
007ba54f3c0dea9031938353d0cf687127593e4b27d37e846ee714b412fdecef,私人影院,41,"Chineseporn 4",32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
007e363e3845a104ac0a3738cbdff6f9468d10f226edcf6ad6ff3bd1ec478c4d,isilo,172,SmsSender,6,3,4,1,9,0,0,0,0,2,0,1,0,0,0
0080b30dff021378b0509ec197ba1990f5fe26f3ad93181e471eebf5dc48a35e,"Adult Player",139,"RansomwareTest 2_fakeInstallers",8,5,2,7,18,2,5,5,10,10,4,10,0,2,2
008381979099015d42fd8a1362726e00b84f84673ec9ba0e2113821b52a3b2f4,Ski_Safari_FULL_v1.3.3_ARMv6,140,RussianFakeIns_FakeInstaller_fakeInstallers,4,1,3,0,21,0,0,0,0,0,27,3,0,0,0
0083af02f98999d521f4202fca50867a1c0eec0767de109aed3c0965dca18a2c,Zagruzki_mp3_jpg_3gp,79,FakeAPP/SMS,1,1,0,0,11,0,0,0,0,0,0,1,1,0,0
00855a93fc71e53ba7047c9d217ef4bb33225128fc542fc05bcc6c8c2d37e196,"Funny Animals Comics",24,AirPush.Adware,1,191,0,0,12,3,4,4,8,19,23,14,0,5,2
0085db6ba6ef1e640ad41c36c11368c3178a3635436ae48b0e81088c33e4ecb8,"Porno Player",27,Android/SMSreg.IE,6,4,4,2,13,0,0,1,8,2,2,1,0,0,0
0087484f1ea947429100439c1a13cafc12d55b447c437848344bc42ca2211310,"Power AMP",97,GAGA01SMSSender,4,1,3,1,19,1,1,1,2,6,8,5,0,1,1
008851322b5a38c3e9b59a9933d6677594990591e97829dcdefe8c1e8c05b092,potap-i-nastya-kamenskih_ne-hvat,140,RussianFakeIns_FakeInstaller_fakeInstallers,5,1,4,0,13,0,0,1,8,0,25,4,0,0,0
008b79acacb68b096a58e287ca05aa2296457b30aede7e1d4d75c8486164ee38,Установка,97,GAGA01SMSSender,3,1,2,1,17,1,1,1,2,6,6,5,0,1,1
008cdf52c200ee7dc5f03fc5417c0fe638110466090548fe57a37af4b42de46f,Обновление,87,"fakegames/programs SMSFraud",1,3,0,0,15,0,0,0,0,0,0,1,0,0,0
009028fd24a7e56e20020e003189aa830e699aaa5b8854f28374169857ded002,媒体播放,55,Chinesesetting,31,5,3,1,15,13,4,5,76,13,0,2,0,14,16
00904620af90f8f47b6f44e94a133e06a7627ea90efadbb4cee375fdc48c85d8,Traxnyl_ychilky_poslepar,174,SMSSend-FakeIns,2,1,1,1,6,0,0,0,0,0,0,2,0,0,0
009331719663a24df4723b481a5334f675b442f37a9a18a0376890ee8ad8b970,_cover_orange_na_android,156,"sms_fraud- MSACM32",12,3,9,2,15,1,1,1,2,4,0,1,0,1,1
009381854241fdf88fc1274f05f0a284fa51bb5bfc5e176aa1aa748550a6fb6c,wheres_my_water_2_v1.0.1_mod,140,RussianFakeIns_FakeInstaller_fakeInstallers,4,1,3,0,10,0,0,0,0,0,20,3,0,0,0
0095131491b7c69f76560de493e48b2da6a57446540311a87868fbf6cfc2290d,com.teamspeak.ts_3.0.0_beta.apk,156,"sms_fraud- MSACM32",6,3,4,1,13,1,1,1,2,3,0,1,0,1,1
009e66fc430c254558d1f9b639c4833b6d9153b73c0d34502f664c8700a6d11a,魅影视频,51,Chineseporn_Skymobi,8,7,3,3,31,4,3,3,6,26,0,6,0,5,4
00a004f92df79006501e9c888d4a2f1296546b8431d06e81f60df21328f3dd0a,Smiley,112,LeadBolt,13,6,11,5,6,31,6,7,14,18,0,18,0,21,21
00a3053e33835468d127abdbe2577f3988a40064f01e01815db2af5a08b2eaa5,XPPlayer,130,PaymentSMS,40,7,21,22,47,18,12,8,16,29,48,9,0,19,22
00a340aee3784901dd9a28f4ff3e0d6b1f6c9af7b0048f38a077a959d0ffa8d2,Music,27,Android/SMSreg.IE,6,4,4,2,13,0,0,1,8,2,2,1,0,0,0
00a54d74097a439224e14bf4f2fdc0982f685bf3b3f7cc5972da3a629d893501,Nievinnyie-dushi.apk,156,"sms_fraud- MSACM32",6,3,4,1,13,1,1,1,2,3,0,1,0,1,1
00adeeac7090b68fa629e6f478bafdfb8246f587455133babc41398666b633d2,Установка,27,Android/SMSreg.IE,6,4,4,2,13,0,0,1,8,2,2,1,0,0,0
00b0e390a859c080d605d4dd677f5d61f41a96118cb8d23f3d2c94d7bdc16bd9,"Music Search",24,AirPush.Adware,5,8,8,7,9,0,0,0,0,2,0,1,0,0,0
00b2e404bdd60a7168450c23049bab0e966c0c8b9b6f4eaa6427a4a1ee18b8b8,香艳视频,153,SMSFraud,23,11,6,10,22,0,0,0,0,2,0,2,0,0,0
00b46fdfd17ef9e276c2ca3b8295b2c07190fde99d4e77cbd49948e73fbdf564,allcallrecorder,156,"sms_fraud- MSACM32",7,3,5,0,10,0,0,0,0,3,0,1,0,0,0
00b705bd8e848deba0a6b6c3bfb4db13c4695d6fc33b8b0e87f6eae4cf276fbd,Tryasuschiesya_siski_podr,174,SMSSend-FakeIns,2,1,1,1,12,0,0,0,0,0,0,2,0,0,0
00b8459a55edf0df3e842bbc4b180902636b42bdc8f8210fc5a45d8d3f89a9c9,Zagruzki_mp3_jpg_3gp,79,FakeAPP/SMS,1,1,0,0,1,0,0,0,0,0,0,1,3,0,0
00bb7dcaac601ab9b8fc6f33d4256dc1ebe32a7f0637c6ab8ed62df94247515f,"Water Touch Live WallPaper",112,LeadBolt,2,3,3,1,11,0,0,0,0,0,0,1,0,0,0
00bc5ce5a6b6f05e0365e559a6b54b7a92feff186345378005af80e7cb7e0a22,FPlayer,130,PaymentSMS,43,7,21,22,47,7,7,6,12,19,48,2,0,7,7
00bd2b63d9ccfb56a29bf72272900b7cf454ea6e5af8fcd6595dd5043bf5de6a,"3D Bolivia Cube Flag LWP",112,LeadBolt,1,10,1,2,8,26,9,10,20,43,2,33,0,13,13
