sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
ce16f891f4cad5b5aafe5f695a57e65f54304335caf27462e049b3d613b08ca7,成人快播,com.yr.sx,4AE8F242,20,23,4,7,29,3,5,3,6,21,0,21,0,3,3
f54edd6f5597bf1f375bbdcf2ac010fa02a98d585da4aac10daac2802a27b26f,成人快播,com.yr.sx,7D53BFDC,20,23,4,7,29,2,6,3,8,22,0,21,0,2,2
6a4c43c228827cbd490c210c6786c40ac260e7bbffa3b0cb87ed5ea27d322cad,成人快播,com.yr.sx,309CA3DF,20,23,4,7,29,4,5,3,6,23,0,23,0,4,5
acb34a07574c64b9b2a7364ddfff34585f9c851421c74f641bf4cf008e2e6de4,成人快播,com.yr.sx,6D306E1C,20,23,4,7,29,3,3,3,6,13,0,15,0,4,4
8e5ff581dec330de2c3a9dd5daecfb135c01a5823d4be63bd4f1a2b00ddeed03,porno_video_657,com.androids.update,4FA1A9F1,2,1,1,1,6,0,0,0,0,0,0,2,0,0,0
4882d482fdac8181df61f99fee609f94d18ac39dd84ebf6d3c0cebd95e6fdb1b,成人快播,com.yr.sx,4F7565DF,20,23,4,7,29,4,3,3,6,20,0,23,0,4,8
25bcd57012ffb8f861276dc2ef05f5055b21e1657c69e6b9c0c9b107d77b2f5f,成人快播,com.yr.sx,FF1CD0,20,23,4,7,29,2,6,3,6,24,0,20,0,2,2
b4f44d40f422b4f45646d6f331dea8dcb839bc95ebb63500e3772f5d17305922,全民数码兽,com.istorm.qmsms.qihu,DB0FB7F1DDF23FCA,4,32,2,3,26,0,0,0,0,1,0,3,0,0,0
64a6b7b888bfdabd7b7b73b250d27ccc68f0b9b492f397021b15d7087840e069,Lookout Antivirus,tj.alumberinc.ruganovich,0F9B6690,3,1,1,0,10,0,0,1,8,0,0,1,0,0,0
6afe46594d9c469939dda2e5fad1d56932969b76471f3e42a40e6cc0e694f3aa,成人快播,com.yr.sx,600D93DE,20,23,4,7,29,4,5,3,6,20,0,28,0,4,4
a901256bf531f5133483ddb1526ff8bad3ee6de143d48c2a61b33e11956bd74f,成人快播,com.yr.sx,156A25BE,20,23,4,7,29,3,6,3,6,25,0,19,0,3,2
d56f8e74987fc4b3cbfb589e5650298ffea94af923d7f01e2b70e1591f5b0e37,Установка,ngjvnpslnp.iplhmk,4E4C147D,3,1,2,1,17,1,1,1,2,6,6,4,0,1,1
