sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
009624c1b0de01bf05e1d7980f31a37ebbdd83339c1ad8bb32dfee7d3cde0787,SmsForward,com.dyna.testapps.smsforwardLongRunning,7A4D1852,2,1,1,0,6,0,0,0,0,0,0,1,0,0,0
009aa97ca9507d228982249fa86118d8b554ecfa4078596728760d4a6238fdc4,Stickman Ski Racer,com.eqwqqdjinnworks.StickmanSkiRacer.freesysbgbn,5178A695,4,4,1,0,19,0,0,0,0,0,0,2,0,0,0
00a3802a46660c66890c9fa73542aee4cba5ac2ef440b6f76eee6b82c4182734,礼品券,com.qihoo.expressbrowser,01,7,1,2,1,10,0,0,0,0,1,0,3,1,0,0
00a38540c2dfc0fa6a3f84e1fe9fa4451f05cb6a26618dc116da0abf901507e0,Install,com.android.update,4E868DEC,2,4,0,0,11,0,0,0,0,1,1,1,0,0,0
00a9951bc1ab52dcc8b958dcacd7f58a821604d297aac7242e21aac438c9a275,FREE_APPS_v4.2.5,com.FREE_APPS_425.android,4FEAC533,1,1,0,1,5,0,0,0,0,1,0,2,0,0,0
00ba8a1f2605373cac7f95d6ba70340847d7ee99f9c8b1267553ce951e466312,YouFrance,com.bjoeajfpa.youfrance,52D3ED06,9,3,3,4,15,54,5,5,10,4,3,2,0,4,5
00d0a969c678285349165c6f7a35f247f569c77b118286e5da45f18a7541d0c7,FLV Player,com.apps.pack,4E868DEC,6,5,3,0,11,0,0,0,0,1,1,1,0,0,0
00d210e451e5afaf8867af7d954fda5da66410e61cadfc2017fc041d3440aa00,Doodle Race,com.melih.clhdputwnc,CD5F129352B7C589,9,11,5,3,8,3,2,2,4,15,7,9,0,3,3
00d802ab8fd2ba624a2ace952fab59f6d3a5df05992b31ddf6f6e06907b28376,川菜大全,com.kait.homemadev2chuancai.chuancai,4ED0CF50,6,5,1,0,15,8,2,2,6,18,11,21,0,8,15
00d97bf63a36541d91b0898be676a8663ff6889bad24327f46d86568fb2d0cf5,Dota Truyền Kỳ,com.android.mylove.dota,1896FE05,1,1,0,0,5,0,0,0,0,0,0,2,0,0,0
00df5c3db4e3c118a201e5945662c1df989a1f25c6912eea8aba052139359307,Google Play,com.googleprojects.mmsp,70114E4D,5,1,3,3,12,0,0,0,0,0,0,2,0,0,0
00e13e6111b873b275b0d154b07f76793ad920a5a86c920832141f08480d4f4e,Zombie World War,com.feelingtouch.gnz.realistic,D013AE,10,14,8,4,9,0,0,0,0,2,0,3,0,0,0
00e1fc1834a72c5f8bce323f7e5d2ff184625a7ce6893b995a933dd9ee164d0f,解开我,com.kiragames.unblockmefreePOENM,67116EB2,6,34,3,3,12,7,3,4,10,104,22,8,0,8,7
00e5609924d9b98b1166e72e71a53cd948f1b86ef086ab5380414afce484019a,发送到SD卡,ru.gelin.android.qhahbgfsendtosd,936EACBE07F201DF,8,10,4,4,18,0,0,0,0,1,0,1,0,0,0
00eb1b21128662bf57497bef5d77affb1ce59c362d081bc235431ce28d7cb7d7,Loader,is.sparta,60378805,1,1,0,0,7,0,0,0,0,1,0,1,0,0,0
00f259998c48fced2fba0ab552774b7762244c067805ee3bf8b620b0193c9713,Установка,ngjvnpslnp.iplhmk,4E4C147D,3,1,2,1,17,1,1,1,2,6,6,5,0,1,1
010e60657db938bfd3d7d1435c694b6f5ec292ce3387e0bea9ed399e5e4fbdb0,五子棋,five.fengyu.cn,4FF00B43,6,4,1,2,10,8,2,2,8,18,0,6,0,8,11
010e8855d714b59e9fa56d024d556a33e32156085584c14b9893496930e40714,Zombie Highway 2,com.breuub.jfwdjkly,53B4227B,7,4,3,9,19,0,0,0,0,3,0,1,0,0,0
0112a18f848bc5b95ca253a7a04f6d397ad28f87d2340321b299e4d66fe90c28,街机快打旋风,com.seleuco.plhzkhupteqz,936EACBE07F201DF,17,14,14,8,15,65,4,5,10,114,22,73,0,66,87
01149e3ef880c1cece1f838ba48d95d3df4c6dd1b089864949be0e1880c2614b,Bingo Tournament,com.pocketworldcasino.bingotournament,52963ACD,1,5,2,0,6,4,7,6,14,6,21,9,0,8,2
01210d70f7f8cc6622eae2e5958124a7816bfa7d006317bcc20055ffdfcfc157,X直播,vhu.xeaoup.erbyuqn,EEF8476D4D869D90,19,1,6,2,26,36,5,7,14,7,6,2,0,3,3
0122aaf0fe309d3cb1db0d65879b85f97b906d7a9cf2fa7e11e38ce2bb489b45,Shooting Fish,com.bolagame.shootingfish,7762587E,3,8,1,4,11,18,7,8,16,8,21,10,0,13,16
012ad46c5bff1b94a5a95aa01ae74a57fb56047f69eaa43a4ee19184c31aceeb,OpenBrowser,com.example.sendsms,52CE582E,1,1,0,1,8,0,0,2,32,0,0,23,0,0,0
012b1765201ea4ba52522d39d0cfe597e7fd4b76040fcb0deeab14baf2367008,相 册,twe.oinb.vcb.das,936EACBE07F201DF,5,2,3,3,11,0,0,0,0,0,0,3,2,0,0
0137cf93fb7f334e2007fc320dd7446870a823cc3f5373478896df58578ccf28,Установка,com.apps.pack,4E868DEC,4,5,3,1,10,0,0,0,0,2,2,1,0,0,0
013f618b6ebd0922c3c7c739d4e246c558996bb1dc340affabc19775b2d587f8,指易付,com.skymobi.pay.plugin,51402BBB,16,4,3,5,23,0,0,0,0,0,0,1,0,0,0
014947f600dfd38f643110c299344e1b30ac2aa577fba6cf1721f4e23bce96be,DaoVang,nang.dv,936EACBE07F201DF,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
015385479e712714b628af924e42ef97c51735f55def275ea62eeb478eedd4f5,migumovie,com.cmvideo.migumovie,4D772586,14,10,8,6,31,0,0,0,0,4,0,1,0,0,0
0155f46a6ef24f9b25e3bb4905367429b96a21e05ddbc92712f191156a198d0f,天天抢红包,cn.ue52bc.gc14d,4CECF3D6,11,7,4,3,15,3,3,3,8,0,0,1,0,0,0
01567c6aadfe3548b7f28805d70fe8fd9f6b6ce913a2d7032f69212109c44e70,Install,net.droid.installer,4E868DEC,7,4,4,2,13,0,0,0,0,2,1,1,0,0,0
01568d3a5e4177edb0c0f64e16447f0dab02db32974f1b11a58d122eb8d67bf5,相片,cdngqapibrot.ojvsaznzvici.vxdeawvsihcs,516A7668,9,2,3,1,17,0,0,0,0,11,10,1,0,0,0
